Anno,Debito pubblico / PIL %,Deficit / PIL %,Entrate / PIL %,Spese / PIL %,Fonte,Note
2015,132.7,2.6,46.5,49.1,MEF/RGS,
2016,132.0,2.4,46.8,49.2,MEF/RGS,
2017,131.4,1.9,46.6,48.5,MEF/RGS,
2018,134.1,2.2,46.3,48.5,MEF/RGS,
2019,134.7,1.6,46.1,47.7,MEF/RGS,
2020,155.6,9.5,43.4,52.9,MEF/RGS,COVID
2021,150.3,8.2,45.0,53.2,MEF/RGS,
2022,140.5,8.0,46.2,54.2,MEF/RGS,
2023,137.3,7.2,46.4,53.6,MEF/RGS,
2024,136.4,3.4,46.5,49.9,MEF/RGS,Stima DEF 2025
2025,136.8,3.4,46.6,50.0,MEF,Previsione
2026,136.2,3.0,46.8,49.8,MEF,Previsione
